x,y,pci,rsrp,dis
53.9815,16.5775,3800,-82.586017,4.269591608
54.049,14.56,3800,-84.666562,5.767007023
54.1105,12.3055,3800,-83.587189,7.719890705
54.148,18.4705,3800,-81.004274,3.621971321
54.751,23.554,3800,-91.96461,6.033626604
55.5385,12.5065,3900,-88.454577,12.67664437
55.7485,20.8015,3800,-82.726136,5.401922112
56.743,8.563,3900,-98.843458,12.15067076
56.9485,2.629,3900,-106.564286,15.0232442
56.9575,12.352,3900,-86.985669,11.25955289
57.022,0.8485,3900,-105.38,16.2051378
57.112,4.4035,3900,-99.932353,13.78112264
57.4765,23.485,3800,-97.240364,8.116829199
57.8785,20.629,3800,-87.421012,7.425449902
58.8505,12.1855,3900,-84.631737,9.372267735
59.593,8.728,3900,-99.71875,9.438050911
59.6605,6.7105,3900,-94.07377,10.3671627
59.8465,23.425,3800,-101.523729,10.1784216
59.893,20.578,3800,-94.63377,9.401670596
60.397,12.3835,3900,-81.455053,7.820153211
60.4645,0.9985,3900,-99.652695,13.92481391
61.315,20.542,4100,-100.307407,23
61.7935,6.6565,3900,-102.79,8.727523847
61.813,12.1105,3900,-88.293117,6.418254922
61.96,8.5495,3900,-76.685784,7.434065594
61.9825,23.4895,4100,-83.00596,22.70941603
62.6185,20.509,3800,-107.4,12.09584252
62.719,1.06,3900,-96.342963,12.75213962
63.238,12.193,3900,-94.379012,4.991032458
63.8515,3.64,3900,-76.127907,9.936370628
63.9265,6.6025,3900,-94.847809,7.346188978
64.2805,20.5855,4100,-87.316016,20.13257635
64.7785,12.154,3900,-97.636994,3.461228286
65.6995,20.431,4100,-62.073874,18.70921541
65.9845,3.586,3900,-100.393443,9.253836569
66.175,6.427,3900,-76.718482,6.470023184
66.223,8.323,3900,-82.09084,4.688240608
66.6745,12.106,3900,-64.778523,1.607999145
67.243,20.5105,3800,-110.975,16.70016471
67.759,3.4225,3900,-92.064889,9.155862398
67.834,6.385,3900,-84.243151,6.19372949
68.5705,12.058,3900,-65.259406,0.620855257
68.7805,20.353,3800,-110.367742,18.22235759
69.175,3.1495,3900,-91.46092,9.466303727
69.196,22.714,4100,-97.576016,15.46954854
69.223,5.0455,3900,-81.741912,7.588743391
69.259,6.4675,3900,-80.536255,6.188201374
69.4225,8.242,3900,-78.874597,4.490398785
69.4795,10.4935,3900,-75.221812,2.428654463
70.2775,13.912,3900,-80.893004,2.462302022
70.3225,15.6895,4100,-89.517647,14.68227082
70.3795,17.941,4100,-92.97619,14.15121837
70.588,12.1255,3900,-74.570048,2.413721452
70.618,22.678,4100,-94.180476,14.06714783
71.074,3.22,3900,-88.434177,9.774471341
71.203,8.3155,3900,-80.187045,5.196479217
71.2375,4.9945,3900,-85.820619,8.153420295
72.337,15.6385,3900,-87.482848,5.1405249
72.391,17.7715,3900,-87.860057,6.672765263
72.3955,22.633,4100,-90.54902,12.32061481
72.535,14.092,3900,-87.328505,4.581268929
72.5965,11.8375,3900,-80.41991,4.4418141
72.8515,3.175,4000,-89.533333,4.858364668
73.24,4.4695,4000,-90.124277,4.2526639
73.336,8.2615,3900,-84.490378,6.690438794
73.957,14.056,3900,-85.7052,5.931920852
74.0485,22.354,4100,-89.098343,10.64770343
74.287,17.7235,3900,-86.993548,7.966095421
74.3485,15.469,3900,-89.308235,6.78538328
74.4985,12.0265,3900,-89.679205,6.306703775
74.623,2.893,4000,-79.292481,3.346971467
74.668,4.6705,4000,-88.158667,2.822451815
74.995,8.2195,4000,-84.617606,4.379660404
75.499,18.76,4100,-77.393716,8.968712338
76.114,14.95,4100,-84.703614,9.631505386
76.15,16.372,4100,-79.411881,8.957044379
76.312,13.4035,4100,-82.975606,10.3490162
76.3945,11.9785,3900,-85.054386,8.20064342
76.99,2.7145,4000,-81.177091,1.970007678
77.038,4.6105,4000,-83.931636,0.452099823
77.2345,7.6885,4000,-91.082412,3.079118786
77.5135,18.709,4100,-76.553879,6.982025727
78.166,11.6965,3900,-85.756831,9.989002515
78.4165,16.9075,4100,-85.092424,6.672295594
78.439,13.1125,4100,-76.650826,9.003459182
78.487,15.0085,4100,-81.580623,7.648569883
78.775,7.6495,4000,-77.081641,3.290759069
79.357,2.536,4000,-91.971538,2.797989457
79.405,4.432,4000,-84.897744,1.92420607
79.528,18.658,4100,-84.33303,5.018086089
79.5625,15.337,4100,-79.80672,6.622607889
79.7515,22.8025,4100,-67.655853,5.501532377
79.9435,11.6515,4100,-71.958861,9.34022829
80.551,2.8615,4000,-88.083333,3.53016193
80.668,7.483,4100,-92.040074,12.92741092
81.337,15.1735,4100,-87.948638,5.598682992
81.6025,11.6095,4100,-73.262698,8.711874454
82.156,10.054,4100,-82.708984,10.0594817
82.2115,7.5625,4100,-82.684328,12.49071809
82.3315,2.935,4100,-83.866667,17.05093303
82.3705,4.4755,4100,-94,15.51778691
82.4065,5.8975,4100,-87.31107,14.10409332
82.597,18.106,4100,-86.641219,2.51541746
82.714,22.7275,4100,-58.333582,3.326432361
82.759,15.1375,4100,-74.990909,4.999488699
82.888,20.233,4100,-68.610714,1.557328803
83.2615,11.5675,4100,-64.983509,8.370289033
83.6365,7.645,4100,-85.553012,12.23883807
83.7535,2.899,4000,-92.161151,6.495634938
84.418,15.0955,4100,-92.857143,4.764534001
84.6085,17.9365,4100,-71.842216,1.934767299
84.784,20.185,4100,-66.606957,0.503071565
84.805,11.647,4100,-66.721765,8.22297963
84.844,22.555,4100,-83.887739,2.73132953
85.4095,2.7385,4100,-78.067355,17.15123472
85.411,7.4815,4100,-97.778166,12.41971752
85.837,14.941,4100,-95.454857,5.124600472
86.5045,17.8885,4100,-72.311969,2.883701181
86.935,11.4745,4100,-79.346689,8.760298811
87.1435,15.0265,4100,-89.410317,5.557833616
87.2485,9.8065,4100,-70.660577,10.44924947
87.307,7.4335,4100,-93.197211,12.76199637
87.5455,2.803,4000,-99.59,10.21834474
87.7855,21.6505,4100,-79.865806,3.829817293
87.841,19.159,4100,-70.039677,3.511677947
87.8455,24.0205,4100,-72.222115,5.401965429
88.0765,14.41,4100,-81.431301,6.57412749
88.291,18.199,4100,-77.096581,4.230697578
88.3645,16.4185,4100,-77.849664,5.249874522
88.396,12.979,4100,-83.200329,7.957146285
88.4755,11.4355,4100,-83.206047,9.358520209
89.32,2.6395,3900,-112.95,23.32329911
89.443,7.498,4100,-93.696078,13.35106337
89.6125,9.5095,4100,-93.591453,11.5889174
89.965,18.7495,4100,-83.654965,5.674718958
90.043,21.8305,4100,-85.7636,5.97714976
90.097,23.9635,4100,-81.516028,7.021005715
90.3715,11.3875,4100,-88.81327,10.3654266
90.7525,17.0695,4100,-84.137037,6.938382124
90.814,14.815,4100,-83.025628,8.160356671
90.8935,13.2715,4100,-87.275124,9.250614817
91.6945,7.441,4100,-93.846906,14.40282234
92.095,18.577,4100,-84.688645,7.80122516
92.1085,23.794,4100,-90.305042,8.654324251
92.146,11.224,4100,-87.2327,11.60090565
93.574,11.425,4100,-97.218341,12.4624035
94.246,9.8665,3900,-108.106897,26.17070235
94.315,12.592,4200,-97.611522,11.15753243
94.366,14.6065,4200,-100.069048,9.648568093
96.1465,14.68,4200,-90.371739,8.38202489
96.208,12.4255,3900,-103.275,27.99335763
96.5035,10.0465,4100,-95.387234,15.58202472
97.945,15.4645,4200,-85.858309,6.705852761
98.146,14.0365,4200,-100.470042,7.878937508
98.227,17.236,4200,-73.450152,5.086429986
98.302,20.1985,4200,-82.17318,3.25797886
98.3755,18.418,4200,-77.341337,4.116737938
100.147,18.136,4200,-69.560299,3.321585465
100.1575,13.867,4200,-99.299611,7.450003775
100.1965,15.4075,4200,-74.935127,5.928527009
100.2415,17.185,4200,-74.30081,4.190736958
