x,y,pci,rsrp,dis
74.995,8.2195,3900,-88.751965,8.054139076
75.3745,18.526,4100,-79.656583,9.123552282
76.147,16.2535,4100,-83.532841,9.006600427
76.15,16.372,4100,-80.038741,8.957044379
76.2265,14.71,4100,-76.130208,9.660672971
76.309,13.285,4100,-84.207823,10.42568492
76.39,16.4845,4100,-80.496026,8.692186161
76.3915,11.86,4100,-81.320755,11.3197205
76.753,2.7205,4000,-84.096413,2.03746638
77.0065,8.05,4000,-86.56867,3.463909966
77.1595,4.726,4000,-88.072614,0.347082483
77.5135,18.709,4100,-76.648047,6.982025727
78.0475,11.6995,4100,-80.839344,10.34156741
78.532,16.786,4100,-76.297765,6.624416955
78.5575,13.1095,4100,-78.283793,8.927712837
78.5995,14.7685,4100,-76.835686,7.718106795
78.8935,7.6465,4000,-89.693333,3.3360927
79.123,2.6605,4000,-84.278667,2.550750723
79.2865,4.435,4000,-92.568182,1.806000346
79.4065,18.5425,4100,-79.645848,5.164382683
79.5625,15.337,4100,-68.133667,6.622607889
79.867,22.681,4100,-72.524198,5.339113222
79.9465,11.77,4100,-77.066667,9.234812518
80.3185,7.729,4100,-85.04125,12.79921104
80.6695,2.8585,4100,-92.917262,17.40596543
80.9755,14.9455,4100,-65.191753,5.989950793
81.487,11.731,4100,-77.926506,8.635172841
82.1695,5.9035,4100,-89.249624,14.13361321
82.2175,7.7995,4100,-83.002448,12.25638472
82.2715,9.9325,4100,-81.411468,10.1531162
82.3315,2.935,4100,-85.821577,17.05093303
82.3705,4.4755,4100,-89.171094,15.51778691
82.5985,22.849,4100,-72.279404,3.48991737
82.6405,15.1405,4100,-61.839669,5.036816504
82.834,18.1,4100,-59.969203,2.355834459
82.888,20.233,4100,-64.825969,1.557328803
83.2585,11.449,4100,-79.418359,8.488105987
83.7535,2.899,4100,-95.221198,16.9733168
83.758,7.7605,4100,-90.136897,12.1165203
84.2995,15.0985,4100,-67.651163,4.762560498
84.6805,11.413,4100,-82.043333,8.451656006
84.73,18.052,4100,-63.746786,1.837869419
84.781,20.0665,4100,-66.618257,0.433362723
84.9685,22.789,4100,-67.873311,2.983661048
