,x,y,pci,zone
581,1.0,4.0,38.0,4.0
582,2.0,4.0,38.0,4.0
583,3.0,4.0,38.0,4.0
584,4.0,4.0,38.0,4.0
585,5.0,4.0,38.0,4.0
586,6.0,4.0,38.0,4.0
587,7.0,4.0,38.0,4.0
588,8.0,4.0,38.0,4.0
589,9.0,4.0,38.0,4.0
590,10.0,4.0,38.0,4.0
591,11.0,4.0,38.0,4.0
592,12.0,4.0,38.0,4.0
593,13.0,4.0,38.0,4.0
594,14.0,4.0,38.0,4.0
595,15.0,4.0,38.0,4.0
596,16.0,4.0,38.0,4.0
597,17.0,4.0,38.0,4.0
598,18.0,4.0,38.0,4.0
599,19.0,4.0,38.0,4.0
600,20.0,4.0,38.0,4.0
601,21.0,4.0,38.0,4.0
602,22.0,4.0,38.0,4.0
603,23.0,4.0,38.0,4.0
604,24.0,4.0,38.0,4.0
605,25.0,4.0,38.0,4.0
606,26.0,4.0,38.0,4.0
607,27.0,4.0,38.0,4.0
608,28.0,4.0,38.0,4.0
609,29.0,4.0,38.0,4.0
610,30.0,4.0,38.0,4.0
611,31.0,4.0,38.0,4.0
612,32.0,4.0,38.0,4.0
613,33.0,4.0,38.0,4.0
614,34.0,4.0,38.0,4.0
615,35.0,4.0,38.0,4.0
616,36.0,4.0,38.0,4.0
617,37.0,4.0,38.0,4.0
618,38.0,4.0,38.0,4.0
619,39.0,4.0,38.0,4.0
620,40.0,4.0,38.0,4.0
621,41.0,4.0,38.0,4.0
622,42.0,4.0,38.0,4.0
623,43.0,4.0,38.0,4.0
624,44.0,4.0,38.0,4.0
625,45.0,4.0,38.0,4.0
626,46.0,4.0,38.0,4.0
627,47.0,4.0,38.0,3.0
628,48.0,4.0,39.0,3.0
629,49.0,4.0,39.0,3.0
630,50.0,4.0,39.0,3.0
631,51.0,4.0,39.0,3.0
632,52.0,4.0,39.0,3.0
633,53.0,4.0,39.0,3.0
634,54.0,4.0,39.0,3.0
635,55.0,4.0,39.0,3.0
636,56.0,4.0,39.0,3.0
637,57.0,4.0,39.0,3.0
638,58.0,4.0,39.0,3.0
639,59.0,4.0,39.0,3.0
640,60.0,4.0,39.0,3.0
641,61.0,4.0,39.0,3.0
642,62.0,4.0,39.0,3.0
643,63.0,4.0,39.0,3.0
43,64.0,4.0,39.0,3.0
644,65.0,4.0,39.0,3.0
645,66.0,4.0,39.0,3.0
646,67.0,4.0,39.0,3.0
647,68.0,4.0,39.0,3.0
648,69.0,4.0,39.0,3.0
649,70.0,4.0,39.0,3.0
650,71.0,4.0,39.0,3.0
651,72.0,4.0,40.0,5.0
652,73.0,4.0,40.0,5.0
653,74.0,4.0,40.0,5.0
654,75.0,4.0,40.0,5.0
655,76.0,4.0,40.0,5.0
656,77.0,4.0,40.0,5.0
657,78.0,4.0,40.0,5.0
101,79.0,4.0,40.0,5.0
658,80.0,4.0,40.0,5.0
659,81.0,4.0,41.0,2.0
114,82.0,4.0,41.0,2.0
660,83.0,4.0,41.0,2.0
661,84.0,4.0,41.0,2.0
662,85.0,4.0,41.0,2.0
663,86.0,4.0,41.0,2.0
664,87.0,4.0,41.0,2.0
665,88.0,4.0,41.0,2.0
666,89.0,4.0,41.0,2.0
667,90.0,4.0,41.0,2.0
668,91.0,4.0,41.0,2.0
669,92.0,4.0,41.0,2.0
670,93.0,4.0,41.0,2.0
671,94.0,4.0,41.0,2.0
672,95.0,4.0,39.0,2.0
673,96.0,4.0,39.0,2.0
674,97.0,4.0,39.0,2.0
675,98.0,4.0,41.0,2.0
676,99.0,4.0,41.0,2.0
677,100.0,4.0,41.0,2.0
678,101.0,4.0,39.0,2.0
679,102.0,4.0,39.0,1.0
680,103.0,4.0,39.0,1.0
681,104.0,4.0,39.0,1.0
682,0.0,5.0,38.0,4.0
683,1.0,5.0,38.0,4.0
684,2.0,5.0,38.0,4.0
685,3.0,5.0,38.0,4.0
686,4.0,5.0,38.0,4.0
687,5.0,5.0,38.0,4.0
688,6.0,5.0,38.0,4.0
689,7.0,5.0,38.0,4.0
690,8.0,5.0,38.0,4.0
691,9.0,5.0,38.0,4.0
692,10.0,5.0,38.0,4.0
693,11.0,5.0,38.0,4.0
694,12.0,5.0,38.0,4.0
695,13.0,5.0,38.0,4.0
696,14.0,5.0,38.0,4.0
697,15.0,5.0,38.0,4.0
698,16.0,5.0,38.0,4.0
699,17.0,5.0,38.0,4.0
700,18.0,5.0,38.0,4.0
701,19.0,5.0,38.0,4.0
702,20.0,5.0,38.0,4.0
703,21.0,5.0,38.0,4.0
704,22.0,5.0,38.0,4.0
705,23.0,5.0,38.0,4.0
706,24.0,5.0,38.0,4.0
707,25.0,5.0,38.0,4.0
708,26.0,5.0,38.0,4.0
709,27.0,5.0,38.0,4.0
710,28.0,5.0,38.0,4.0
711,29.0,5.0,38.0,4.0
712,30.0,5.0,38.0,4.0
713,31.0,5.0,38.0,4.0
714,32.0,5.0,38.0,4.0
715,33.0,5.0,38.0,4.0
716,34.0,5.0,38.0,4.0
717,35.0,5.0,38.0,4.0
718,36.0,5.0,38.0,4.0
719,37.0,5.0,38.0,4.0
720,38.0,5.0,38.0,4.0
721,39.0,5.0,38.0,4.0
722,40.0,5.0,38.0,4.0
723,41.0,5.0,38.0,4.0
724,42.0,5.0,38.0,4.0
725,43.0,5.0,38.0,4.0
726,44.0,5.0,38.0,4.0
727,45.0,5.0,38.0,4.0
728,46.0,5.0,38.0,4.0
729,47.0,5.0,38.0,4.0
730,48.0,5.0,38.0,4.0
731,49.0,5.0,39.0,3.0
732,50.0,5.0,39.0,3.0
733,51.0,5.0,39.0,3.0
734,52.0,5.0,39.0,3.0
735,53.0,5.0,39.0,3.0
736,54.0,5.0,39.0,3.0
737,55.0,5.0,39.0,3.0
738,56.0,5.0,39.0,3.0
24,57.0,5.0,39.0,3.0
739,58.0,5.0,39.0,3.0
740,59.0,5.0,39.0,3.0
741,60.0,5.0,39.0,3.0
742,61.0,5.0,39.0,3.0
743,62.0,5.0,39.0,3.0
744,63.0,5.0,39.0,3.0
745,64.0,5.0,39.0,3.0
746,65.0,5.0,39.0,3.0
747,66.0,5.0,39.0,3.0
748,67.0,5.0,39.0,3.0
749,68.0,5.0,39.0,3.0
57,69.0,5.0,39.0,3.0
750,70.0,5.0,39.0,3.0
68,71.0,5.0,39.0,3.0
751,72.0,5.0,40.0,5.0
77,73.0,5.0,40.0,5.0
752,74.0,5.0,40.0,5.0
84,75.0,5.0,40.0,5.0
753,76.0,5.0,40.0,5.0
93,77.0,5.0,40.0,5.0
754,78.0,5.0,40.0,5.0
755,79.0,5.0,40.0,5.0
756,80.0,5.0,41.0,2.0
757,81.0,5.0,41.0,2.0
758,82.0,5.0,41.0,2.0
759,83.0,5.0,41.0,2.0
760,84.0,5.0,41.0,2.0
761,85.0,5.0,41.0,2.0
762,86.0,5.0,41.0,2.0
763,87.0,5.0,41.0,2.0
764,88.0,5.0,41.0,2.0
765,89.0,5.0,41.0,2.0
766,90.0,5.0,41.0,2.0
767,91.0,5.0,41.0,2.0
768,92.0,5.0,41.0,2.0
769,93.0,5.0,41.0,2.0
770,94.0,5.0,39.0,2.0
771,95.0,5.0,41.0,2.0
772,96.0,5.0,41.0,2.0
773,97.0,5.0,41.0,2.0
774,98.0,5.0,41.0,2.0
775,99.0,5.0,41.0,2.0
776,100.0,5.0,41.0,2.0
777,101.0,5.0,39.0,2.0
778,102.0,5.0,39.0,1.0
779,103.0,5.0,39.0,1.0
780,104.0,5.0,42.0,1.0
781,0.0,6.0,38.0,4.0
782,1.0,6.0,38.0,4.0
783,2.0,6.0,38.0,4.0
784,3.0,6.0,38.0,4.0
785,4.0,6.0,38.0,4.0
786,5.0,6.0,38.0,4.0
787,6.0,6.0,38.0,4.0
788,7.0,6.0,38.0,4.0
789,8.0,6.0,38.0,4.0
790,9.0,6.0,38.0,4.0
791,10.0,6.0,38.0,4.0
792,11.0,6.0,38.0,4.0
793,12.0,6.0,38.0,4.0
794,13.0,6.0,38.0,4.0
795,14.0,6.0,38.0,4.0
796,15.0,6.0,38.0,4.0
797,16.0,6.0,38.0,4.0
798,17.0,6.0,38.0,4.0
799,18.0,6.0,38.0,4.0
800,19.0,6.0,38.0,4.0
801,20.0,6.0,38.0,4.0
802,21.0,6.0,38.0,4.0
803,22.0,6.0,38.0,4.0
804,23.0,6.0,38.0,4.0
805,24.0,6.0,38.0,4.0
806,25.0,6.0,38.0,4.0
807,26.0,6.0,38.0,4.0
808,27.0,6.0,38.0,4.0
809,28.0,6.0,38.0,4.0
810,29.0,6.0,38.0,4.0
811,30.0,6.0,38.0,4.0
812,31.0,6.0,38.0,4.0
813,32.0,6.0,38.0,4.0
814,33.0,6.0,38.0,4.0
815,34.0,6.0,38.0,4.0
816,35.0,6.0,38.0,4.0
817,36.0,6.0,38.0,4.0
818,37.0,6.0,38.0,4.0
819,38.0,6.0,38.0,4.0
820,39.0,6.0,38.0,4.0
821,40.0,6.0,38.0,4.0
822,41.0,6.0,38.0,4.0
823,42.0,6.0,38.0,4.0
824,43.0,6.0,38.0,4.0
825,44.0,6.0,38.0,4.0
826,45.0,6.0,38.0,4.0
827,46.0,6.0,38.0,4.0
828,47.0,6.0,38.0,4.0
829,48.0,6.0,38.0,4.0
830,49.0,6.0,38.0,4.0
831,50.0,6.0,38.0,4.0
832,51.0,6.0,39.0,3.0
833,52.0,6.0,39.0,3.0
834,53.0,6.0,39.0,3.0
835,54.0,6.0,39.0,3.0
836,55.0,6.0,39.0,3.0
837,56.0,6.0,39.0,3.0
838,57.0,6.0,39.0,3.0
839,58.0,6.0,39.0,3.0
840,59.0,6.0,39.0,3.0
841,60.0,6.0,39.0,3.0
842,61.0,6.0,39.0,3.0
35,62.0,6.0,39.0,3.0
843,63.0,6.0,39.0,3.0
42,64.0,6.0,39.0,3.0
844,65.0,6.0,39.0,3.0
845,66.0,6.0,39.0,3.0
846,67.0,6.0,39.0,3.0
847,68.0,6.0,39.0,3.0
848,69.0,6.0,39.0,3.0
849,70.0,6.0,39.0,3.0
850,71.0,6.0,39.0,3.0
851,72.0,6.0,39.0,3.0
852,73.0,6.0,40.0,5.0
853,74.0,6.0,40.0,5.0
854,75.0,6.0,40.0,5.0
855,76.0,6.0,40.0,5.0
856,77.0,6.0,40.0,5.0
857,78.0,6.0,40.0,5.0
858,79.0,6.0,40.0,5.0
859,80.0,6.0,40.0,5.0
860,81.0,6.0,41.0,2.0
110,82.0,6.0,41.0,2.0
861,83.0,6.0,41.0,2.0
862,84.0,6.0,41.0,2.0
863,85.0,6.0,41.0,2.0
864,86.0,6.0,41.0,2.0
865,87.0,6.0,41.0,2.0
866,88.0,6.0,41.0,2.0
867,89.0,6.0,41.0,2.0
868,90.0,6.0,41.0,2.0
869,91.0,6.0,41.0,2.0
870,92.0,6.0,41.0,2.0
871,93.0,6.0,41.0,2.0
872,94.0,6.0,41.0,2.0
873,95.0,6.0,41.0,2.0
874,96.0,6.0,41.0,2.0
875,97.0,6.0,41.0,2.0
876,98.0,6.0,41.0,2.0
877,99.0,6.0,41.0,2.0
878,100.0,6.0,39.0,2.0
879,101.0,6.0,39.0,1.0
880,102.0,6.0,39.0,1.0
881,103.0,6.0,42.0,1.0
882,104.0,6.0,42.0,1.0
883,0.0,7.0,38.0,4.0
884,1.0,7.0,38.0,4.0
885,2.0,7.0,38.0,4.0
886,3.0,7.0,38.0,4.0
887,4.0,7.0,38.0,4.0
888,5.0,7.0,38.0,4.0
889,6.0,7.0,38.0,4.0
890,7.0,7.0,38.0,4.0
891,8.0,7.0,38.0,4.0
892,9.0,7.0,38.0,4.0
893,10.0,7.0,38.0,4.0
894,11.0,7.0,38.0,4.0
895,12.0,7.0,38.0,4.0
896,13.0,7.0,38.0,4.0
897,14.0,7.0,38.0,4.0
898,15.0,7.0,38.0,4.0
899,16.0,7.0,38.0,4.0
900,17.0,7.0,38.0,4.0
901,18.0,7.0,38.0,4.0
902,19.0,7.0,38.0,4.0
903,20.0,7.0,38.0,4.0
904,21.0,7.0,38.0,4.0
905,22.0,7.0,38.0,4.0
906,23.0,7.0,38.0,4.0
907,24.0,7.0,38.0,4.0
908,25.0,7.0,38.0,4.0
909,26.0,7.0,38.0,4.0
910,27.0,7.0,38.0,4.0
911,28.0,7.0,38.0,4.0
912,29.0,7.0,38.0,4.0
913,30.0,7.0,38.0,4.0
914,31.0,7.0,38.0,4.0
915,32.0,7.0,38.0,4.0
916,33.0,7.0,38.0,4.0
917,34.0,7.0,38.0,4.0
918,35.0,7.0,38.0,4.0
919,36.0,7.0,38.0,4.0
920,37.0,7.0,38.0,4.0
921,38.0,7.0,38.0,4.0
922,39.0,7.0,38.0,4.0
